Rank,Molecule,Candidate Type,Entity Class,Related Receptors,GPR62,GPR61,GPR135,MT2,5-HT6,GPCRLigNet Score,ML Prediction,Experimental Validation,Evidence Level,Evidence Sentence,Literature Score,Receptor Relevance,Priority Score,Source,Years,PMIDs,PMCIDs,Journals,DOIs,Article Titles,Article Links,PubChem CID,SMILES,Paper Count,Interpretation,Recommended Next Step
42,Rotenone,5-HT6 exploratory candidate,Chemical / small molecule,5-HT6 receptor,No,No,No,No,Yes,0.8578706383705139,High,Unvalidated,E,,3,0.25,0.6261159149408341,PubMed,2024,38936149,,European journal of medicinal chemistry,10.1016/j.ejmech.2024.116615,5-HT6 receptor neutral antagonists protect astrocytes: A lesson from 2-phenylpyrrole derivatives.,https://pubmed.ncbi.nlm.nih.gov/38936149/,6758,CC(=C)C1CC2=C(O1)C=CC3=C2OC4COC5=CC(=C(C=C5C4C3=O)OC)OC,1,Rotenone currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority
43,SB 269970,5-HT6 exploratory candidate,Chemical / small molecule,5-HT6 receptor,No,No,No,No,Yes,0.8466910719871521,Moderate,Unvalidated,E,,6,0.25,0.6248491967916489,PubMed,2013; 2019,25287308; 31233821,,Acta neuropsychiatrica; Behavioural brain research,10.1016/j.bbr.2019.112055; 10.1111/j.1601-5215.2012.00669.x,"The blockade of the serotoninergic receptors 5-HT5A, 5-HT6 and 5-HT7 in the basolateral amygdala, but not in the hippocampus facilitate the extinction of fear memory. | 5-HT depletion, but not 5-HT1A antagonist, prevents the anxiolytic-like effect of citalopram in rat contextual conditioned fear stress model.",https://pubmed.ncbi.nlm.nih.gov/31233821/ | https://pubmed.ncbi.nlm.nih.gov/25287308/,6604889,CC1CCN(CC1)CCC2CCCN2S(=O)(=O)C3=CC=CC(=C3)O,2,SB 269970 currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority
44,Fluvoxamine,5-HT6 exploratory candidate,Chemical / small molecule,5-HT6 receptor,No,No,No,No,Yes,0.8449462056159973,Moderate,Unvalidated,E,,3,0.25,0.6177150336503983,PubMed,2015,25932719,,Behavioural pharmacology,10.1097/FBP.0000000000000140,Pharmacological profile of encounter-induced hyperactivity in isolation-reared mice.,https://pubmed.ncbi.nlm.nih.gov/25932719/,5324346,COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F,1,Fluvoxamine currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority
45,Aligeron,5-HT6 exploratory candidate,Chemical / small molecule,5-HT6 receptor,No,No,No,No,Yes,0.8204567432403564,Moderate,Unvalidated,E,,6,0.25,0.6077968831062317,PubMed,2025,38204222,,Current computer-aided drug design,10.2174/0115734099282836231212064925,"In-silico Design, ADMET Screening, Prime MM-GBSA Binding Free Energy Calculation and MD Simulation of Some Novel Phenothiazines as 5HT6R Antagonists Targeting Alzheimer's Disease.",https://pubmed.ncbi.nlm.nih.gov/38204222/,166145,C=CCN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=CC=C3,1,Aligeron currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority
46,1-(phenylsulfonyl)-4-(piperazin-1-yl)-1H-indole,5-HT6 exploratory candidate,Chemical / small molecule,5-HT6 receptor,No,No,No,No,Yes,0.8271880745887756,Moderate,Unvalidated,E,,3,0.25,0.6061722484827042,PubMed,2016,27560283,,European journal of medicinal chemistry,10.1016/j.ejmech.2016.08.016,"Novel multi-target-directed ligands for Alzheimer's disease: Combining cholinesterase inhibitors and 5-HT6 receptor antagonists. Design, synthesis and biological evaluation.",https://pubmed.ncbi.nlm.nih.gov/27560283/,10154392,C1CN(CCN1)C2=CC=CC3=C2C=CN3S(=O)(=O)C4=CC=CC=C4,1,1-(phenylsulfonyl)-4-(piperazin-1-yl)-1H-indole currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority
47,Amoxapine,5-HT6 exploratory candidate,Chemical / small molecule,5-HT6 receptor,No,No,No,No,Yes,0.8087691068649292,Moderate,Unvalidated,E,,5,0.25,0.598199919462204,PubMed + PMC,2017,28694424,PMC5504036,Scientific reports,10.1038/s41598-017-04144-3,"A tricyclic antidepressant, amoxapine, reduces amyloid-β generation through multiple serotonin receptor 6-mediated targets.",https://pubmed.ncbi.nlm.nih.gov/28694424/,2170,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,1,Amoxapine currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority
48,Tacrine,5-HT6 exploratory candidate,Chemical / small molecule,5-HT6 receptor,No,No,No,No,Yes,0.7920169830322266,Moderate,Unvalidated,E,,6,0.25,0.5893110389709473,PubMed,2016,27560283,,European journal of medicinal chemistry,10.1016/j.ejmech.2016.08.016,"Novel multi-target-directed ligands for Alzheimer's disease: Combining cholinesterase inhibitors and 5-HT6 receptor antagonists. Design, synthesis and biological evaluation.",https://pubmed.ncbi.nlm.nih.gov/27560283/,1935,C1CCC2=NC3=CC=CC=C3C(=C2C1)N,1,Tacrine currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority
49,Aripiprazole,5-HT6 exploratory candidate,Chemical / small molecule,5-HT6 receptor,No,No,No,No,Yes,0.8098500370979309,Moderate,Unvalidated,E,,0,0.25,0.5889025241136551,PubMed,2020,31760336,,Psychiatry research. Neuroimaging,10.1016/j.pscychresns.2019.111007,In vivo 5-HT6 and 5-HT2A receptor availability in antipsychotic treated schizophrenia patients vs. unmedicated healthy humans measured with [11C]GSK215083 PET.,https://pubmed.ncbi.nlm.nih.gov/31760336/,60795,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,1,Aripiprazole currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority
50,THC,5-HT6 exploratory candidate,Chemical / small molecule,5-HT6 receptor,No,No,No,No,Yes,0.7892976403236389,Moderate,Unvalidated,E,,6,0.25,0.5875434662103654,PubMed + PMC,2020,32329240,PMC7207164,EMBO molecular medicine,10.15252/emmm.201910605,Early 5-HT6 receptor blockade prevents symptom onset in a model of adolescent cannabis abuse.,https://pubmed.ncbi.nlm.nih.gov/32329240/,16078,CCCCCC1=CC(=C2C3C=C(CCC3C(OC2=C1)(C)C)C)O,1,THC currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority
51,9-tetrahydrocannabinol,5-HT6 exploratory candidate,Chemical / small molecule,5-HT6 receptor,No,No,No,No,Yes,0.7892976403236389,Moderate,Unvalidated,E,,3,0.25,0.5815434662103653,PubMed + PMC,2020,32329240,PMC7207164,EMBO molecular medicine,10.15252/emmm.201910605,Early 5-HT6 receptor blockade prevents symptom onset in a model of adolescent cannabis abuse.,https://pubmed.ncbi.nlm.nih.gov/32329240/,16078,CCCCCC1=CC(=C2C3C=C(CCC3C(OC2=C1)(C)C)C)O,1,9-tetrahydrocannabinol currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority
52,Cyclophosphamide,MT2-related exploratory candidate,Chemical / small molecule,MT2 receptor,No,No,No,Yes,No,0.682522177696228,Moderate,Unvalidated,E,,3,0.5,0.5746394155025483,PubMed,2022,34642909,,"Reproductive sciences (Thousand Oaks, Calif.)",10.1007/s43032-021-00768-z,Melatonin Attenuates Cyclophosphamide-Induced Primordial Follicle Loss by Interaction with MT1 Receptor and Modulation of PTEN/Akt/FOXO3a Proteins in the Mouse Ovary.,https://pubmed.ncbi.nlm.nih.gov/34642909/,2907,C1CNP(=O)(OC1)N(CCCl)CCCl,1,Cyclophosphamide currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority
53,Donepezil,5-HT6 exploratory candidate,Chemical / small molecule,5-HT6 receptor,No,No,No,No,Yes,0.7118600010871887,Moderate,Direct receptor evidence,C,The 5-HT6 receptor antagonist idalopirdine potentiates the effects of donepezil on gamma oscillations in the frontal cortex of anesthetized and awake rats without affecting sleep-wake architecture.,24,0.25,0.5732090007066728,PubMed + PMC,2013; 2014; 2016; 2017; 2021,24135200; 25297016; 27039041; 27469080; 27560283; 27647493; 34095437,PMC8165732,"Alzheimer's & dementia (New York, N. Y.); European journal of medicinal chemistry; European journal of pharmacology; Neuropharmacology; The European journal of neuroscience; The Lancet. Neurology",10.1002/trc2.12136; 10.1016/S1474-4422(14)70198-X; 10.1016/j.ejmech.2016.08.016; 10.1016/j.ejphar.2013.10.005; 10.1016/j.neuropharm.2016.03.043; 10.1016/j.neuropharm.2016.09.017; 10.1111/ejn.13354,"Intepirdine as adjunctive therapy to donepezil for mild-to-moderate Alzheimer's disease: A randomized, placebo-controlled, phase 3 clinical trial (MINDSET). | The 5-HT6 receptor antagonist idalopirdine potentiates the effects of donepezil on gamma oscillations in the frontal cortex of anesthetized and awake rats without affecting sleep-wake architecture. | Novel multi-target-directed ligands for Alzheimer's disease: Combining cholinesterase inhibitors and 5-HT6 receptor antagonists. Design, synthesis and biological evaluation. | Reducing falls in Parkinson's disease: interactions between donepezil and the 5-HT6 receptor antagonist idalopirdine on falls in a rat model of impaired cognitive control of complex movements. | The 5-HT6 receptor antagonist idalopirdine potentiates the effects of acetylcholinesterase inhibition on neuronal network oscillations and extracellular acetylcholine levels in the rat dorsal hippocampus. | Safety and efficacy of idalopirdine, a 5-HT6 receptor antagonist, in patients with moderate Alzheimer's disease (LADDER): a randomised, double-blind, placebo-controlled phase 2 trial. | Effect of olanzapine on scopolamine induced deficits in differential reinforcement of low rate 72s (DRL-72s) schedule in rats: involvement of the serotonergic receptors in restoring the deficits.",https://pubmed.ncbi.nlm.nih.gov/34095437/ | https://pubmed.ncbi.nlm.nih.gov/27647493/ | https://pubmed.ncbi.nlm.nih.gov/27560283/ | https://pubmed.ncbi.nlm.nih.gov/27469080/ | https://pubmed.ncbi.nlm.nih.gov/27039041/ | https://pubmed.ncbi.nlm.nih.gov/25297016/ | https://pubmed.ncbi.nlm.nih.gov/24135200/,3152,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,7,Donepezil has experimental receptor evidence involving 5-HT6 receptor and is being evaluated as a possible GPR62 candidate.,Review pharmacology and consider experimental testing
54,Clozapine,5-HT6 exploratory candidate,Chemical / small molecule,5-HT6 receptor,No,No,No,No,Yes,0.7433640956878662,Moderate,Indirect/context evidence,D,"Co-administration of 5-HT6 receptor antagonists with clozapine, risperidone, and a 5-HT2A receptor antagonist: effects on prepulse inhibition in rats.",9,0.25,0.563686662197113,PubMed + PMC,2013; 2014,23479455; 23954911,PMC3889519,"Journal of psychopharmacology (Oxford, England); Psychopharmacology",10.1007/s00213-013-3234-2; 10.1177/0269881113480991,"Co-administration of 5-HT6 receptor antagonists with clozapine, risperidone, and a 5-HT2A receptor antagonist: effects on prepulse inhibition in rats. | The 5-hydroxytryptamine (serotonin) receptor 6 agonist EMD 386088 ameliorates ketamine-induced deficits in attentional set shifting and novel object recognition, but not in the prepulse inhibition in rats.",https://pubmed.ncbi.nlm.nih.gov/23954911/ | https://pubmed.ncbi.nlm.nih.gov/23479455/,135398737,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,2,"Clozapine appears in literature related to 5-HT6 receptor, but direct receptor interaction has not been established.",Review full article for direct receptor evidence
55,Tryptophan,5-HT6 exploratory candidate,Chemical / small molecule,5-HT6 receptor,No,No,No,No,Yes,0.7616071105003357,Moderate,Unvalidated,E,,1,0.25,0.5595446218252182,PubMed + PMC,2019,30883547,PMC6438579,PLoS biology,10.1371/journal.pbio.2007097,Serotonin receptor HTR6-mediated mTORC1 signaling regulates dietary restriction-induced memory enhancement.,https://pubmed.ncbi.nlm.nih.gov/30883547/,6305,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N,1,Tryptophan currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority
56,CPPQ,5-HT6 exploratory candidate,Chemical / small molecule,5-HT6 receptor,No,No,No,No,Yes,0.7214867472648621,Moderate,Unvalidated,E,,12,0.25,0.5554663857221604,PubMed + PMC,2021; 2025,33439019; 34467765; 34576341; 40885239,PMC8467191; PMC8474115,European journal of pharmacology; International journal of molecular sciences; Journal of medicinal chemistry,10.1016/j.ejphar.2025.178099; 10.1021/acs.jmedchem.0c02009; 10.1021/acs.jmedchem.1c00224; 10.3390/ijms221810178,"Serotonin type 6 receptor inverse agonists and neutral antagonists inhibit defecation: relevance to intestinal motility disorders. | Blockade of Serotonin 5-HT6 Receptor Constitutive Activity Alleviates Cognitive Deficits in a Preclinical Model of Neurofibromatosis Type 1. | Structure-Based Design and Optimization of FPPQ, a Dual-Acting 5-HT3 and 5-HT6 Receptor Antagonist with Antipsychotic and Procognitive Properties. | Imidazopyridine-Based 5-HT6 Receptor Neutral Antagonists: Impact of N1-Benzyl and N1-Phenylsulfonyl Fragments on Different Receptor Conformational States.",https://pubmed.ncbi.nlm.nih.gov/40885239/ | https://pubmed.ncbi.nlm.nih.gov/34576341/ | https://pubmed.ncbi.nlm.nih.gov/34467765/ | https://pubmed.ncbi.nlm.nih.gov/33439019/,162656068,CCC1=NC2=C(N1S(=O)(=O)C3=CC(=CC=C3)Cl)C=CN=C2N4CCNCC4,4,CPPQ currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority
57,Isoproterenol,Close/related orphan GPCR candidate,Chemical / small molecule,GPR135,No,No,Yes,No,No,0.5485492944717407,Low,Unvalidated,E,,4,0.75,0.5520570414066315,PubMed,2018,31038027,,Journal of receptor and signal transduction research,10.1080/10799893.2019.1597116,Altered function and expression of the orphan GPR135 at the cardiovascular level in diabetic Wistar rats.,https://pubmed.ncbi.nlm.nih.gov/31038027/,3779,CC(C)NCC(C1=CC(=C(C=C1)O)O)O,1,Isoproterenol currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority
58,4-phenyl-2-propionamidotetraline,MT2-related exploratory candidate,Chemical / small molecule,MT2 receptor,No,No,No,Yes,No,0.48708274960517883,Low,Unvalidated,E,,59,0.5,0.5416037872433662,PubMed + PMC,2022; 2023; 2024; 2025; 2026,34642909; 35179400; 35588335; 35682961; 35795373; 35932205; 36018566; 36271291; 36362201; 36592515; 37200384; 37717795; 37739092; 37834395; 37978917; 38750743; 38881434; 40871079; 42118091; 42166832,PMC10249807; PMC10573520; PMC11072751; PMC12389105; PMC13165690; PMC9181011; PMC9251177; PMC9586995; PMC9655379,"ACS chemical neuroscience; Animal science journal = Nihon chikusan Gakkaiho; Biochimica et biophysica acta. Molecular basis of disease; Cellular and molecular life sciences : CMLS; Cryobiology; Current eye research; FASEB journal : official publication of the Federation of American Societies for Experimental Biology; Free radical biology & medicine; Frontiers in cardiovascular medicine; International journal of molecular sciences; PLoS pathogens; Pharmaceutics; Reproduction in domestic animals = Zuchthygiene; Reproductive sciences (Thousand Oaks, Calif.); Scientific reports; The Science of the total environment; Theriogenology",10.1007/s00018-022-04330-1; 10.1007/s43032-021-00768-z; 10.1016/j.bbadis.2023.166887; 10.1016/j.cryobiol.2026.105645; 10.1016/j.freeradbiomed.2023.09.012; 10.1016/j.scitotenv.2024.173119; 10.1016/j.theriogenology.2022.12.036; 10.1021/acschemneuro.3c00616; 10.1038/s41598-022-22705-z; 10.1080/02713683.2021.2022163; 10.1096/fj.202601214R; 10.1111/asj.13760; 10.1111/rda.14237; 10.1111/rda.14598; 10.1371/journal.ppat.1011406; 10.3389/fcvm.2022.885293; 10.3390/ijms23116284; 10.3390/ijms232113397; 10.3390/ijms241914947; 10.3390/pharmaceutics17081057,"Protective effects of melatonin on mouse ovarian tissue against oxidative stress and ferroptosis may involve the MT1 receptor. | Orchestration of PKC-Mediated Inhibition and Calcium Release-Mediated Activation of BK Currents in Rat Vascular Smooth Muscle Cells by Melatonin Confers a BK-Channel-Dependent Restraint on Melatonin-Induced Vasocontraction. | Preclinical Assessment of a Metformin-Melatonin Combination: Antinociceptive Synergism. | Melatonin activates Nrf2/HO-1 signalling pathway to antagonizes oxidative stress-induced injury via melatonin receptor 1 (MT1) in cryopreserved mice ovarian tissue. | Paraquat disrupts KIF5A-mediated axonal mitochondrial transport in midbrain neurons and its antagonism by melatonin. | Melatonin Relieves Paclitaxel-Induced Neuropathic Pain by Regulating pNEK2-Dependent Epigenetic Pathways in DRG Neurons. | Melanogenesis Is Directly Affected by Metabolites of Melatonin in Human Melanoma Cells. | Melatonin inhibits fibroblast cell functions and hypertrophic scar formation by enhancing autophagy through the MT2 receptor-inhibited PI3K/Akt /mTOR signaling. | Melatonin alleviates early brain injury by inhibiting the NRF2-mediated ferroptosis pathway after subarachnoid hemorrhage. | Melatonin alleviates lung injury in H1N1-infected mice by mast cell inactivation and cytokine storm suppression. | Effects of melatonin on development and hormone secretion of sheep theca cells in vitro. | Impact of Melatonin on RAW264.7 Macrophages during Mechanical Strain. | Melatonin inhibits muscular-mucosal stretch-sensitive bladder afferents via the MT2 receptors. | Melatonin protects sheep endometrial epithelial cells against lipopolysaccharide-induced inflammation in vitro. | Regulatory role of melatonin on epidermal growth factor receptor, Type I collagen α1 chain, and caveolin 1 in granulosa cells of sheep antral follicles. | Melatonin Inhibits NF-κB/CREB/Runx2 Signaling and Alleviates Aortic Valve Calcification. | Bos taurus and Cervus elaphus as Non-Seasonal/Seasonal Models for the Role of Melatonin Receptors in the Spermatozoon. | Therapeutic potential of a single-dose melatonin in the attenuation of cardiac ischemia/reperfusion injury in prediabetic obese rats. | Copolymer Micelle-administered Melatonin Ameliorates Hyperosmolarity-induced Ocular Surface Damage through Regulating PINK1-mediated Mitophagy. | Melatonin Attenuates Cyclophosphamide-Induced Primordial Follicle Loss by Interaction with MT1 Receptor and Modulation of PTEN/Akt/FOXO3a Proteins in the Mouse Ovary.",https://pubmed.ncbi.nlm.nih.gov/42166832/ | https://pubmed.ncbi.nlm.nih.gov/42118091/ | https://pubmed.ncbi.nlm.nih.gov/40871079/ | https://pubmed.ncbi.nlm.nih.gov/38881434/ | https://pubmed.ncbi.nlm.nih.gov/38750743/ | https://pubmed.ncbi.nlm.nih.gov/37978917/ | https://pubmed.ncbi.nlm.nih.gov/37834395/ | https://pubmed.ncbi.nlm.nih.gov/37739092/ | https://pubmed.ncbi.nlm.nih.gov/37717795/ | https://pubmed.ncbi.nlm.nih.gov/37200384/ | https://pubmed.ncbi.nlm.nih.gov/36592515/ | https://pubmed.ncbi.nlm.nih.gov/36362201/ | https://pubmed.ncbi.nlm.nih.gov/36271291/ | https://pubmed.ncbi.nlm.nih.gov/36018566/ | https://pubmed.ncbi.nlm.nih.gov/35932205/ | https://pubmed.ncbi.nlm.nih.gov/35795373/ | https://pubmed.ncbi.nlm.nih.gov/35682961/ | https://pubmed.ncbi.nlm.nih.gov/35588335/ | https://pubmed.ncbi.nlm.nih.gov/35179400/ | https://pubmed.ncbi.nlm.nih.gov/34642909/,3976006,CCC(=O)NC1CC(C2=CC=CC=C2C1)C3=CC=CC=C3,20,4-phenyl-2-propionamidotetraline currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority
59,Ergolines,5-HT6 exploratory candidate,Chemical / small molecule,5-HT6 receptor,No,No,No,No,Yes,0.7178567051887512,Moderate,Unvalidated,E,,3,0.25,0.5351068583726883,PubMed,2014,24878269,,Journal of medicinal chemistry,10.1021/jm5003759,Novel aza-analogous ergoline derived scaffolds as potent serotonin 5-HT₆ and dopamine D₂ receptor ligands.,https://pubmed.ncbi.nlm.nih.gov/24878269/,6857537,C1CC2C(CC3=CNC4=CC=CC2=C34)NC1,1,Ergolines currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority
60,hypidone hydrochloride,5-HT6 exploratory candidate,Chemical / small molecule,5-HT6 receptor,No,No,No,No,Yes,0.7139524221420288,Moderate,Direct receptor evidence,C,"5-HT6 receptor agonist and memory-enhancing properties of hypidone hydrochloride (YL-0919), a novel 5-HT1A receptor partial agonist and SSRI.",3,0.25,0.5325690743923188,PubMed,2018,29805118,,Neuropharmacology,10.1016/j.neuropharm.2018.05.027,"5-HT6 receptor agonist and memory-enhancing properties of hypidone hydrochloride (YL-0919), a novel 5-HT1A receptor partial agonist and SSRI.",https://pubmed.ncbi.nlm.nih.gov/29805118/,122412736,C1CN(CCC1(CN2C=CC=CC2=O)O)CC3=CC=CC=C3.Cl,1,hypidone hydrochloride has experimental receptor evidence involving 5-HT6 receptor and is being evaluated as a possible GPR62 candidate.,Review pharmacology and consider experimental testing
61,agomelatine,MT2-related exploratory candidate,Chemical / small molecule,MT2 receptor,No,No,No,Yes,No,0.4964980185031891,Low,Direct receptor evidence,C,Agomelatine inhibits platelet aggregation through melatonin receptor-dependent and independent mechanisms.,39,0.5,0.5257237120270729,PubMed + PMC,2021; 2022; 2023; 2024; 2025; 2026,34886787; 35153715; 36097970; 36263645; 36769183; 36915542; 37394096; 38009636; 38215065; 38816228; 38842700; 39655682; 40493137; 41011705; 41731588,PMC10006472; PMC10805256; PMC11442587; PMC12472680; PMC13036929; PMC8828541; PMC9606441; PMC9918025,"Clinical psychopharmacology and neuroscience : the official scientific journal of the Korean College of Neuropsychopharmacology; Current molecular pharmacology; Diabetology & metabolic syndrome; Environmental toxicology; Frontiers in aging neuroscience; Heliyon; International journal of molecular sciences; Journal of biochemical and molecular toxicology; Life sciences; Molecules (Basel, Switzerland); Neurochemical research; Physiological research; Psychopharmacology; The Journal of pharmacology and experimental therapeutics; The world journal of biological psychiatry : the official journal of the World Federation of Societies of Biological Psychiatry",10.1002/jbt.70090; 10.1002/tox.24021; 10.1007/s00213-024-06619-4; 10.1007/s11064-025-04451-6; 10.1016/j.heliyon.2023.e14026; 10.1016/j.lfs.2023.121906; 10.1080/15622975.2022.2123954; 10.1124/jpet.123.002087; 10.1186/s13098-026-02130-2; 10.2174/1874467214666211209142546; 10.33549/physiolres.935064; 10.3389/fnagi.2021.766410; 10.3390/ijms24032863; 10.3390/molecules30183814; 10.9758/cpn.2022.20.4.701,"Agomelatine and the potential inverse risk of metabolic disorders: a nationwide cohort study with an active comparator design in Taiwan. | The Efficacy of Melatonergic Receptor Agonists Used in Clinical Practice in Insomnia Treatment: Melatonin, Tasimelteon, Ramelteon, Agomelatine, and Selected Herbs. | Agonism of MT1 and MT2 Receptor Mitigates Oxidative Insult, Neuroinflammation, and Cerebral Injury in Cadmium Chloride Treated Animals. | An Experimental Insight Into the Role of Agomelatine in Renal Ischemia/Reperfusion Injury. | Chronic Caffeine Consumption, Alone or Combined with Agomelatine or Quetiapine, Reduces the Maximum EEG Peak, As Linked to Cortical Neurodegeneration, Ovarian Estrogen Receptor Alpha, and Melatonin Receptor 2. | High-dose Agomelatine Combined with Haloperidol Decanoate Improves Cognition, Downregulates MT2, Upregulates D5, and Maintains Krüppel-like Factor 9 But Alters Cardiac Electrophysiology. | Modulation of Melatonin Receptors Regulates Reproductive Physiology: The Impact of Agomelatine on the Estrus Cycle, Gestation, Offspring, and Uterine Contractions in Rats. | Citrate-coated silver nanoparticles loaded with agomelatine provide neuronal therapy in acute cerebral ischemia/reperfusion of rats by inhibiting the oxidative stress, endoplasmic reticulum stress, and P2X7 receptor-mediated inflammasome. | Agomelatine inhibits platelet aggregation through melatonin receptor-dependent and independent mechanisms. | Acute toxicity and genotoxicity studies on new melatonergic antidepressant GW117. | Structural Basis for Agonistic Activity and Selectivity toward Melatonin Receptors hMT1 and hMT2. | The Effect of Agomelatine in Behavioral and Psychological Symptoms of Dementia. | Agomelatine decreases cocaine-induced locomotor sensitisation and dopamine release in rats. | Agomelatine Prevents Amyloid Plaque Deposition, Tau Phosphorylation, and Neuroinflammation in APP/PS1 Mice. | Agomelatine: An Astounding Sui-generis Antidepressant?",https://pubmed.ncbi.nlm.nih.gov/41731588/ | https://pubmed.ncbi.nlm.nih.gov/41011705/ | https://pubmed.ncbi.nlm.nih.gov/40493137/ | https://pubmed.ncbi.nlm.nih.gov/39655682/ | https://pubmed.ncbi.nlm.nih.gov/38842700/ | https://pubmed.ncbi.nlm.nih.gov/38816228/ | https://pubmed.ncbi.nlm.nih.gov/38215065/ | https://pubmed.ncbi.nlm.nih.gov/38009636/ | https://pubmed.ncbi.nlm.nih.gov/37394096/ | https://pubmed.ncbi.nlm.nih.gov/36915542/ | https://pubmed.ncbi.nlm.nih.gov/36769183/ | https://pubmed.ncbi.nlm.nih.gov/36263645/ | https://pubmed.ncbi.nlm.nih.gov/36097970/ | https://pubmed.ncbi.nlm.nih.gov/35153715/ | https://pubmed.ncbi.nlm.nih.gov/34886787/,82148,CC(=O)NCCC1=CC=CC2=C1C=C(C=C2)OC,15,agomelatine has experimental receptor evidence involving MT2 receptor and is being evaluated as a possible GPR62 candidate.,Review pharmacology and consider experimental testing
62,Melanins,MT2-related exploratory candidate,Chemical / small molecule,MT2 receptor,No,No,No,Yes,No,0.6012611985206604,Low,Unvalidated,E,,3,0.5,0.5218197790384294,PubMed + PMC,2023,37834395,PMC10573520,International journal of molecular sciences,10.3390/ijms241914947,Melanogenesis Is Directly Affected by Metabolites of Melatonin in Human Melanoma Cells.,https://pubmed.ncbi.nlm.nih.gov/37834395/,6325610,CC1=C2C3=C(C4=CNC5=C(C(=O)C(=O)C(=C45)C3=CN2)C)C(=O)C1=O,1,Melanins currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority
63,Sulfones,5-HT6 exploratory candidate,Chemical / small molecule,5-HT6 receptor,No,No,No,No,Yes,0.6527525782585144,Moderate,Unvalidated,E,,12,0.25,0.5107891758680344,PubMed + PMC,2014; 2019; 2020,24406060; 31336820; 31817628; 32693296,PMC6678253; PMC6943527,"Chemical biology & drug design; European journal of medicinal chemistry; International journal of molecular sciences; Molecules (Basel, Switzerland)",10.1016/j.ejmech.2020.112529; 10.1111/cbdd.12279; 10.3390/ijms20143420; 10.3390/molecules24244472,"Chlorine substituents and linker topology as factors of 5-HT6R activity for novel highly active 1,3,5-triazine derivatives with procognitive properties in vivo. | Are the Hydantoin-1,3,5-triazine 5-HT6R Ligands a Hope to a Find New Procognitive and Anti-Obesity Drug? Considerations Based on Primary In Vivo Assays and ADME-Tox Profile In Vitro. | The 1,3,5-Triazine Derivatives as Innovative Chemical Family of 5-HT6 Serotonin Receptor Agents with Therapeutic Perspectives for Cognitive Impairment. | In search of potent 5-HT6 receptor inverse agonists.",https://pubmed.ncbi.nlm.nih.gov/32693296/ | https://pubmed.ncbi.nlm.nih.gov/31817628/ | https://pubmed.ncbi.nlm.nih.gov/31336820/ | https://pubmed.ncbi.nlm.nih.gov/24406060/,12501714,CC1=CC=C(C=C1)S(=O)(=O)C(=C(C2=CC=CC=C2)Br)C3=CC=CC=C3,4,Sulfones currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority
